Incident Date,State,City Or County,Short_Address,Address,latitude,longitude,Killed,Injured
2/20/2016,Michigan,Kalamazoo,5581 Cracker Barrel Blvd,5581 Cracker Barrel Blvd Kalamazoo Michigan,42.236528,-85.674767,6,2
2/19/2016,California,Vallejo,509 Porter Street,509 Porter Street Vallejo California,38.088301,-122.245497,1,3
2/14/2016,Texas,Houston,8449 Gulf Freeway,8449 Gulf Freeway Houston Texas,29.672693,-95.263815,1,3
2/14/2016,Alabama,Eutaw (Union),Earnest Friday Road,Earnest Friday Road Eutaw (Union) Alabama,32.988181,-87.915016,0,5
2/13/2016,Louisiana,Marrero,5425 Lapalco Boulevard,5425 Lapalco Boulevard Marrero Louisiana,29.874909,-90.108277,0,4
2/7/2016,Mississippi,Pass Christian,Davis Avenue,Davis Avenue Pass Christian Mississippi,30.322556,-89.244652,2,4
2/7/2016,Florida,Orlando,7432 Universal Blvd,7432 Universal Blvd Orlando Florida,28.455455,-81.464975,2,10
2/7/2016,New York,Rochester,547 State street,547 State street Rochester New York,43.16436,-77.622985,1,7
2/7/2016,Illinois,Chicago (Englewood),6500 block of South Green Street,6500 block of South Green Street Chicago (Englewood) Illinois,41.77596,-87.646168,0,4
2/6/2016,Florida,Tampa,8123 N Nebraska Ave,8123 N Nebraska Ave Tampa Florida,28.021899,-82.45097,1,7
2/6/2016,California,Los Angeles,12800 block of Cook Street,12800 block of Cook Street Los Angeles California,33.916417,-118.270667,1,3
2/6/2016,Florida,Apopka,10th Street,10th Street Apopka Florida,28.665764,-81.503119,0,4
2/3/2016,District of Columbia,Washington,1500 block of Butler St. SE,1500 block of Butler St. SE Washington District of Columbia,38.861182,-76.983932,0,4
1/30/2016,Colorado,Denver,4655 Humboldt St,4655 Humboldt St Denver Colorado,39.781011,-104.971494,1,3
1/30/2016,Arizona,Glendale,67th and Missouri Avenue,67th and Missouri Avenue Glendale Arizona,33.516598,-112.203128,3,5
1/27/2016,Virginia,Chesapeake,1401 N. George Washington Hwy,1401 N. George Washington Hwy Chesapeake Virginia,36.790435,-76.330094,6,0
1/26/2016,Washington,Seattle,Airport Way S. and S. Atlantic St.,Airport Way S. and S. Atlantic St. Seattle Washington,47.590308,-122.322638,2,3
1/25/2016,California,Perris,140 S. D Street,140 S. D Street Perris California,33.784708,-117.228683,1,4
1/23/2016,California,Los Angeles,8105 Avalon Blvd,8105 Avalon Blvd Los Angeles California,33.965368,-118.265402,2,2
1/17/2016,Virginia,Ware Neck,Ditchley Road and Gill Lane,Ditchley Road and Gill Lane Ware Neck Virginia,37.400082,-76.437338,1,3
1/11/2016,Delaware,Wilmington,900 block of Brown Street,900 block of Brown Street Wilmington Delaware,39.735074,-75.567226,1,4
1/8/2016,Illinois,Chicago,1500 block of South Kedzie,1500 block of South Kedzie Chicago Illinois,41.860924,-87.705515,1,4
1/7/2016,Tennessee,Memphis,3800 block of Kerwood Avenue,3800 block of Kerwood Avenue Memphis Tennessee,35.233642,-89.936266,1,3
1/6/2016,Florida,Lakeland,2312 East Magnolia Street,2312 East Magnolia Street Lakeland Florida,28.050319,-81.913353,3,1
