country,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Brazil,3135.2,2805.7,3040.5,3596.2,4730.7,5808.3,7246.9,8706.8,8474.9,11121.4,13039.1,12157.3,12071.8,11726.8
China,1047.5,1141.8,1280.6,1498.2,1740.1,2082.2,2673.3,3441.2,3800.5,4514.9,5574.2,6264.6,6991.9,7590
India,460.8,480.6,557.9,640.6,729,816.7,1050,1022.6,1124.5,1387.9,1471.7,1449.7,1455.1,1581.5
Russian Federation,2100.4,2375.1,2975.1,4102.4,5323.5,6920.2,9101.3,11635.3,8562.8,10675,13323.9,14078.8,14487.3,12735.9
South Africa,2705.8,2535.5,3799.4,4892,5444.1,5660.1,6153.7,5811.6,5912.1,7390,8080.9,7592.2,6889.8,6483.9
United Kingdom,25980.2,28301.2,32575.1,38305.9,40047.9,42534.3,48428.2,45195.2,37166.3,38292.9,41020.4,41294.5,42294.9,46297
United States,37273.6,38166,39677.2,41921.8,44307.9,46437.1,48061.5,48401.4,47001.6,48374.1,49781.4,51456.7,52980,54629.5
